city;postal_code;sex;date_of_birth;working;form_of_employment;pyt_1;pyt_2;pyt_3
Sopot;81-777;m;1971-08-11;True;freelancer;2;1;6
Ruda Śląska;41-709;f;1987-12-02;False;;2;1;9
Opole;45-685;m;1964-04-07;False;;1;0;4
Lublin;20-881;f;1976-03-31;True;self-employment;1;2;4
Kraków;31-002;f;1968-04-01;True;freelancer;2;1;4
Jedwabno;12-122;f;1959-02-13;True;freelancer;0;2;4
Kielce;25-147;f;1983-09-16;True;self-employment;2;1;9
Warszawa;00-910;m;1978-04-28;False;;2;2;9
Kraków;30-864;f;1965-06-24;True;freelancer;2;0;3
Katowice;40-540;m;1984-05-29;False;;2;2;6
Jastrzębie-Zdrój;44-335;f;1984-02-04;True;self-employment;2;2;3
Wrocław;54-113;m;1965-10-27;True;self-employment;2;0;0
Łódź;93-633;f;1991-01-24;True;freelancer;3;0;2
Gdańsk;80-180;m;1995-05-06;False;;0;1;8
Szczecin;71-434;m;1961-09-05;True;self-employment;2;1;7
Łódź;91-866;f;1980-01-13;False;;2;1;4
Warszawa;03-133;m;1970-07-03;False;;1;1;6
Katowice;40-035;f;1980-04-26;False;;0;1;6
Szczecin;71-691;m;1988-01-29;True;self-employment;1;2;4
Poznań;61-606;f;1959-11-14;True;full-time;0;1;0
Warszawa;00-918;f;1985-12-07;False;;2;1;7
Gdynia;81-475;m;1994-02-20;False;;0;1;3
Lublin;20-258;m;1966-11-18;False;;2;1;8
Warszawa;04-440;f;1971-07-14;True;freelancer;3;0;5
Szczecin;70-779;m;1984-08-02;False;;1;1;8
Warszawa/Wesoła;05-077;m;1987-10-06;False;;2;2;7
Gdańsk;80-514;f;1991-11-12;False;;0;1;5
Zielona Góra;65-130;m;1991-07-17;False;;3;2;3
Poznań;60-236;f;1980-10-02;False;;2;1;9
Poznań;61-306;f;1995-03-16;False;;1;2;7
Warszawa;00-923;f;1995-12-27;True;full-time;2;1;9
Warszawa;03-523;m;1989-03-11;False;;1;0;0
Zielona Góra;65-119;m;1971-07-19;False;;1;2;6
Warszawa;00-925;f;1968-10-21;False;;3;2;5
Radom;26-613;f;1964-08-31;False;;3;0;1
Warszawa;00-926;m;1972-12-19;False;;0;0;4
Poznań;60-149;m;1982-04-13;True;freelancer;1;1;4
Kielce;25-629;f;1985-12-03;False;;1;2;2
Gdańsk;80-462;f;1995-01-07;True;full-time;1;2;9
Stara Błotnica;26-806;f;1994-08-08;True;freelancer;2;0;5
Świerczów;46-112;f;1966-12-02;False;;0;1;9
Warszawa;04-727;f;1978-06-27;True;freelancer;1;1;7
Warszawa;00-929;f;1967-05-27;True;full-time;3;2;4
Katowice;40-706;f;1983-07-18;True;freelancer;1;2;3
Łódź;90-629;f;1961-06-17;True;freelancer;3;0;8
Warszawa;00-931;f;1993-08-22;False;;1;2;2
Warszawa;00-932;f;1981-06-13;False;;1;0;1
Kielce;25-828;f;1998-08-31;False;;1;0;7
Kołaczyce;38-213;m;1975-09-22;False;;3;0;6
Poznań;60-132;f;1997-10-16;True;freelancer;1;1;0
Warszawa;00-937;f;1979-05-08;True;self-employment;2;2;6
Kłobuck;42-100;f;1966-10-13;False;;1;0;8
Opole;45-069;f;1988-12-11;False;;1;1;9
Warszawa;04-948;f;1986-09-26;True;self-employment;1;2;7
Warszawa;00-942;f;1969-06-06;True;freelancer;1;1;4
Mysłowice;41-400;f;1985-12-13;False;;2;0;4
Kraków;30-556;m;1985-06-12;False;;3;0;6
Wrocław;54-129;m;1963-02-21;False;;0;1;6
Gdańsk;80-299;f;1991-07-13;True;self-employment;2;1;7
Warszawa;00-951;m;1965-06-25;False;;1;0;2
Częstochowa;42-202;m;1995-11-14;False;;1;0;7
Łódź;94-209;f;1991-10-18;False;;3;2;7
Bydgoszcz;85-123;f;1997-10-13;False;;2;2;0
Warszawa;00-955;m;1958-12-11;False;;3;2;1
Będzin;42-506;f;1998-05-21;False;;3;1;4
Wrocław;54-518;m;1977-12-14;False;;0;1;8
Opole;45-332;m;1960-04-29;False;;3;2;7
Warszawa;02-254;f;1970-05-26;False;;0;2;8
Radom;26-601;m;1981-09-02;True;self-employment;1;1;5
Wrocław;54-067;f;1964-06-14;False;;3;0;3
Krzynowłoga Mała;06-316;m;1987-05-09;True;freelancer;0;1;4
Warszawa;03-802;m;1998-05-02;True;freelancer;3;1;5
Wrocław;51-112;f;1960-09-27;True;freelancer;3;1;4
Strażów;36-073;m;1964-08-29;True;freelancer;3;0;5
Radziejów;88-200;m;1966-02-01;True;freelancer;3;0;5
Gdańsk;80-404;m;1974-07-02;True;full-time;3;2;9
Łódź;90-146;f;1960-07-15;False;;2;2;7
Łódź;91-725;m;1982-12-07;False;;3;2;9
Szczecin;71-081;f;1990-08-24;False;;0;2;0
Katowice;40-153;m;1979-03-19;True;self-employment;1;2;4
Warszawa;00-972;f;1987-09-04;False;;2;2;5
Częstochowa;42-202;f;1969-08-14;True;self-employment;3;0;1
Katowice;40-026;m;1973-07-21;False;;2;2;5
Warszawa;00-975;m;1993-02-02;True;self-employment;0;0;1
Warszawa;04-293;f;1979-11-19;True;full-time;0;0;0
Bydgoszcz;85-035;m;1963-03-27;False;;3;0;1
Dąbrowa Górnicza;41-300;m;1984-03-06;False;;2;0;8
Wrocław;50-362;m;1963-03-05;True;self-employment;0;2;2
Jastrzębie-Zdrój;44-335;f;1988-01-11;True;self-employment;2;1;1
Wrocław;51-506;m;1990-01-01;True;self-employment;3;1;1
Szczecin;70-851;m;1958-10-14;False;;0;2;5
Zielona Góra;65-788;f;1984-10-30;False;;3;2;7
Sosnowiec;41-211;m;1966-01-31;True;self-employment;0;1;9
Łódź;91-493;f;1991-01-25;False;;0;0;4
Bielsko-Biała;43-300;m;1966-05-21;False;;1;2;4
Wrocław;50-445;m;1988-10-19;True;freelancer;2;2;5
Wrocław;51-503;m;1979-02-23;False;;2;2;0
Ełk;19-304;m;1985-11-11;True;self-employment;1;2;6
Kraków;30-630;m;1986-08-08;False;;0;0;3
Poznań;61-211;f;1997-04-16;False;;3;2;4
Zielona Góra;65-129;f;1965-06-06;False;;2;1;7
Rzeszów;35-620;f;1959-11-19;False;;2;2;7
Łódź;91-358;m;1969-11-19;False;;2;2;0
Lublin;20-337;f;1976-08-14;True;freelancer;0;0;3
Lublin;20-075;m;1993-05-29;False;;0;0;6
Łódź;93-424;m;1968-08-04;True;full-time;0;1;3
Szczecin;70-841;f;1980-07-13;True;self-employment;2;2;3
Łódź;90-124;f;1986-12-04;True;freelancer;3;2;5
Wrocław;51-504;m;1965-08-31;True;self-employment;0;0;1
Białystok;15-819;f;1985-04-27;False;;0;1;7
Koszalin;75-256;m;1983-07-03;False;;1;2;6
Grudziądz;86-308;m;1959-11-16;True;full-time;3;1;6
Szczecin;70-722;f;1992-05-08;True;freelancer;3;1;0
Ksawerów;95-054;m;1963-12-24;False;;2;0;7
Kielce;25-219;f;1987-02-04;True;freelancer;2;1;2
Warszawa;01-012;f;1996-05-11;True;self-employment;2;2;2
Gdynia;81-180;m;1965-08-07;True;full-time;0;1;7
Szczecin;71-206;m;1998-11-08;True;self-employment;0;2;3
Łódź;90-981;f;1976-02-02;True;full-time;3;1;9
Bydgoszcz;85-472;f;1968-11-30;False;;3;0;4
Łódź;92-327;m;1960-04-14;False;;1;1;3
Katowice;40-837;f;1975-01-11;True;self-employment;1;2;9
Mikołów;43-195;f;1995-06-21;False;;0;0;2
Kraków;30-144;f;1976-05-25;True;freelancer;2;0;0
Słupca;62-401;m;1976-10-22;True;self-employment;2;0;4
Katowice;40-542;f;1997-12-15;True;full-time;0;2;9
Olsztyn;10-455;m;1970-04-10;True;full-time;2;1;6
Wrocław;50-210;f;1981-07-18;True;freelancer;2;2;1
Bydgoszcz;85-749;m;1987-01-19;False;;1;1;2
Bydgoszcz;85-874;m;1980-02-27;False;;1;0;8
Szczecin;71-885;m;1981-08-12;False;;2;2;5
Chorzów;41-500;m;1971-09-24;True;freelancer;2;1;4
Warszawa;03-182;f;1975-09-10;True;freelancer;0;1;7
Gliwice;44-113;m;1985-10-01;False;;1;2;1
Racibórz;47-400;f;1967-06-03;True;full-time;1;2;5
Myślenice;32-400;m;1958-01-20;False;;1;1;2
Katowice;40-029;f;1964-01-19;True;full-time;3;0;2
Nagłowice;28-362;f;1996-04-19;True;freelancer;1;0;0
Lublin;20-311;m;1965-02-27;False;;1;1;4
Kraków;31-416;f;1982-10-02;True;full-time;0;2;0
Warszawa;01-037;f;1976-08-29;True;full-time;3;1;4
Bielsko-Biała;43-300;m;1998-11-30;True;freelancer;1;1;0
Wrocław;51-513;m;1997-07-10;True;self-employment;3;2;6
Warszawa;02-216;m;1991-06-11;True;freelancer;1;0;7
Olsztyn;10-515;m;1970-01-11;False;;2;2;9
Kraków;31-839;m;1962-01-08;True;freelancer;2;0;0
Nowogard;72-200;f;1972-02-16;False;;2;0;8
Poznań;60-962;f;1961-06-17;True;full-time;0;1;7
Kraków;30-898;f;1964-12-14;False;;1;1;4
Warszawa;02-317;f;1967-05-01;False;;2;2;4
Koszalin;75-561;m;1979-04-04;True;freelancer;2;1;5
Poznań;60-008;m;1989-09-10;False;;3;1;5
Brzeg;49-300;m;1978-09-17;False;;1;2;7
Bielsko-Biała;43-346;m;1964-03-16;True;freelancer;3;2;9
Warszawa;02-705;m;1998-12-31;True;freelancer;2;2;7
Kielce;25-122;m;1979-08-09;True;full-time;3;2;6
Białystok;15-197;m;1970-05-10;False;;3;1;2
Białystok;15-321;m;1986-06-17;False;;2;0;8
Szczecin;70-330;f;1981-07-30;True;full-time;3;0;3
Chorzów;41-506;f;1991-04-16;True;self-employment;1;0;3
Kraków;31-335;m;1980-12-15;True;freelancer;3;1;6
Łódź;94-214;m;1983-09-14;True;full-time;0;2;1
Gdańsk;80-617;m;1972-08-27;True;full-time;2;0;0
Łódź;93-235;m;1999-10-13;True;full-time;0;0;4
Warszawa;02-931;m;1960-01-12;False;;1;1;5
Trzcinica;63-620;f;1980-11-27;False;;3;0;3
Częstochowa;42-216;f;1987-12-28;False;;2;2;1
Białystok;15-803;m;1974-05-08;False;;3;1;6
Katowice;40-473;m;1964-02-14;True;self-employment;1;1;0
Szczecin;70-806;f;1978-06-21;True;self-employment;0;1;3
Poznań;61-555;m;1983-12-26;True;freelancer;1;1;6
Bydgoszcz;85-719;m;1988-09-01;False;;0;0;9
Warszawa/Wesoła;05-075;m;1983-06-11;False;;0;1;7
Gdynia;81-433;f;1979-02-18;True;freelancer;2;1;9
Siennica;05-332;f;1978-11-15;True;full-time;1;1;7
Lublin;20-361;f;1995-05-15;False;;0;2;0
Wrocław;52-128;m;1980-05-09;False;;1;1;4
Warszawa;01-101;m;1963-11-20;True;freelancer;0;0;6
Warszawa;02-968;m;1974-05-02;True;freelancer;0;2;8
Żarnowo;72-111;m;1966-01-02;False;;3;0;8
Zambrów;18-300;m;1980-01-15;False;;0;1;3
Łódź;90-046;f;1970-11-30;False;;2;0;7
Bytom;41-923;m;1974-12-09;True;full-time;2;1;9
Warszawa;01-104;m;1966-06-14;False;;2;0;3
Zielona Góra;65-528;m;1989-03-22;False;;1;1;8
Zielona Góra;65-012;f;1958-09-03;False;;2;0;1
Lublin;20-442;f;1982-08-23;False;;3;1;8
Wleń;59-610;f;1974-07-14;True;freelancer;0;1;0
Poznań;60-973;f;1975-05-19;True;self-employment;2;2;7
Wrocław;51-663;m;1958-03-27;True;self-employment;1;1;2
Zabrze;41-800;m;1965-09-09;True;full-time;2;0;9
Szczecin;71-835;f;1992-01-30;True;self-employment;1;0;6
Jastrzębie-Zdrój;44-268;m;1989-11-08;False;;0;1;2
Warszawa;01-111;f;1977-05-08;True;self-employment;3;1;0
Bełchatów;97-406;f;1986-07-20;True;self-employment;1;0;0
Racibórz;47-404;f;1967-01-13;False;;0;1;5
Lublin;20-471;m;1978-07-08;False;;1;1;2
Pacanów;28-133;f;1960-10-06;True;full-time;1;1;1
Lublin;20-140;m;1974-07-06;True;freelancer;3;1;4
Łódź;91-167;f;1992-09-15;True;self-employment;0;1;4
Strzałkowo;62-420;m;1974-03-02;True;full-time;0;1;2
Kraków;31-538;f;1967-12-06;False;;3;2;8
Wrocław;53-652;m;1995-01-06;True;freelancer;0;1;1
Gdańsk;80-463;f;1992-08-01;False;;0;0;0
Gdynia;81-969;f;1970-01-21;True;freelancer;3;2;7
Zielona Góra;65-707;m;1995-02-21;False;;2;2;9
Tarnowskie Góry;42-605;m;1985-07-15;False;;1;2;7
Bydgoszcz;85-060;m;1991-03-16;False;;0;1;6
Zielona Góra;65-556;m;1976-02-19;False;;1;2;3
Szczecin;71-804;m;1979-08-19;False;;0;1;1
Białystok;15-349;f;1993-10-23;False;;1;0;5
Chorzów;41-515;m;1963-03-15;True;full-time;0;1;0
Ruda Śląska;41-706;m;1989-12-11;True;self-employment;3;0;4
Łódź;94-205;f;1971-12-26;False;;0;0;2
Gliwice;44-100;f;1990-11-15;False;;2;2;9
Warszawa;01-127;f;1994-12-29;False;;2;1;5
Zielona Góra;65-954;f;1964-08-05;False;;2;1;4
Kraków;31-435;m;1986-12-02;False;;1;2;3
Dzierzgowo;06-520;f;1999-08-26;False;;3;0;1
Łódź;91-480;f;1971-03-10;False;;2;1;4
Zielona Góra;65-012;m;1958-05-25;True;full-time;3;0;6
Łódź;91-614;f;1989-11-09;True;self-employment;3;0;0
Poznań;61-432;f;1985-07-03;False;;1;1;3
Kraków;31-875;m;1972-07-22;False;;1;0;7
Olsztyn;10-773;m;1968-01-31;False;;2;0;3
Brzeg;49-300;m;1958-10-29;True;freelancer;1;0;0
Warszawa;01-138;f;1988-08-02;True;freelancer;3;2;3
Kraków;31-235;m;1958-02-01;False;;0;1;9
Nowa Biała;34-433;m;1978-05-12;True;freelancer;1;1;2
Białystok;15-601;m;1984-04-21;True;freelancer;3;1;4
Bydgoszcz;85-085;f;1967-06-29;True;freelancer;3;0;3
Poznań;61-625;m;1970-10-29;False;;1;2;1
Koszalin;75-553;f;1964-09-26;True;full-time;1;2;5
Nowogard;72-200;m;1978-01-20;True;self-employment;3;2;6
Szczecin;70-622;f;1969-11-19;True;self-employment;3;2;2
Poznań;61-306;f;1977-05-06;True;freelancer;0;1;2
Łódź;90-720;f;1994-10-09;True;full-time;1;1;1
Gdańsk;80-136;m;1997-06-11;True;self-employment;1;1;0
Warszawa;02-208;f;1961-01-25;False;;0;2;2
Łódź;94-411;m;1996-01-16;True;freelancer;2;1;9
Tarnowskie Góry;42-612;f;1967-10-08;True;full-time;1;0;5
Łódź;91-018;f;1985-03-29;False;;2;0;8
Kraków;30-048;f;1981-08-29;False;;1;2;4
Poznań;60-177;f;1963-08-21;False;;1;2;3
Wrocław;52-019;m;1968-10-23;False;;3;2;1
Łódź;91-480;m;1978-01-16;False;;0;0;9
Kraków;30-071;m;1988-10-07;False;;3;2;8
Katowice;40-234;m;1976-10-24;False;;2;0;8
Warszawa;01-158;f;1960-06-02;True;freelancer;2;2;5
Oborniki;64-600;f;1959-04-08;False;;2;2;6
Kielce;25-019;f;1967-05-11;False;;3;0;6
Strzegom;58-150;f;1981-01-07;True;full-time;0;0;2
Bielsko-Biała;43-309;m;1994-11-29;False;;2;2;1
Lublin;20-629;m;1990-06-04;True;self-employment;2;0;7
Poznań;60-418;m;1966-04-19;False;;1;0;0
Tarnów;33-104;f;1982-08-04;False;;2;2;9
Kraków;31-934;m;1998-08-18;True;freelancer;0;2;6
Warszawa;04-988;m;1986-05-11;True;full-time;1;1;3
Warszawa;01-163;f;1996-02-29;False;;0;1;4
Kraków;30-421;m;1999-02-04;True;self-employment;0;2;8
Koszalin;75-307;f;1973-07-17;False;;1;0;7
Zielona Góra;65-548;f;1992-04-28;False;;0;2;2
Katowice;40-486;f;1968-10-03;True;full-time;1;1;4
Łazy;42-450;f;1967-01-23;True;full-time;2;0;0
Osiek;83-221;m;1985-02-20;False;;1;0;5
Katowice;40-749;m;1971-11-02;True;self-employment;1;0;7
Bielsko-Biała;43-300;m;1980-05-03;False;;3;2;9
Lublin;20-590;f;1967-04-17;False;;0;0;5
Warszawa;02-450;f;1962-06-13;True;freelancer;2;2;6
Lipnik;27-540;m;1959-10-22;False;;3;1;1
Katowice;40-242;m;1962-05-19;False;;3;1;1
Szczecin;70-786;m;1978-07-09;True;freelancer;2;0;4
Bytom;41-902;m;1977-05-06;False;;3;2;5
Szczecin;71-704;f;1993-12-25;False;;2;2;2
Warszawa;04-025;m;1959-01-09;False;;0;0;9
Wrocław;52-423;f;1972-09-01;True;full-time;2;1;3
Kraków;31-526;f;1989-03-23;True;full-time;0;2;3
Kraków;30-901;m;1975-05-06;False;;2;2;1
Kraków;31-277;m;1972-07-01;True;freelancer;0;2;4
Warszawa;01-178;f;1997-05-19;True;full-time;0;2;8
Łódź;91-219;m;1996-10-04;True;freelancer;1;2;9
Kielce;25-123;m;1986-01-07;True;freelancer;2;0;4
Kędzierzyn-Koźle;47-200;f;1984-07-01;False;;2;1;4
Zabrze;41-806;m;1969-10-22;True;freelancer;0;2;6
Warszawa;02-830;f;1998-11-03;True;full-time;3;2;9
Grabiny;39-217;m;1988-11-17;True;freelancer;3;0;1
Trzebnica;55-100;m;1995-04-05;True;full-time;3;0;5
Opole;45-440;m;1966-12-16;True;full-time;0;0;0
Poznań;61-031;m;1999-12-08;True;self-employment;2;1;2
Poznań;60-592;m;1979-10-13;False;;2;1;7
Ruda Śląska;41-712;f;1964-06-30;False;;2;1;4
Lubsko;68-301;m;1966-06-24;False;;2;1;4
Gąbin;09-530;m;1974-08-14;True;self-employment;2;2;7
Łódź;90-357;f;1965-07-18;True;self-employment;1;0;2
Warszawa/Wesoła;05-075;m;1981-06-15;True;freelancer;1;2;8
Szczecin;71-236;m;1992-02-19;True;self-employment;2;2;5
Wrocław;50-547;f;1992-08-29;False;;1;0;8
Gdańsk;80-742;m;1972-02-26;True;self-employment;1;2;0
Kędzierzyn-Koźle;47-206;f;1976-10-24;False;;3;0;3
Moszczenica;38-321;m;1995-11-01;True;self-employment;3;1;5
Kraków;31-709;m;1993-08-24;False;;2;2;5
Łódź;92-213;f;1998-10-30;False;;2;2;8
Kraków;31-831;f;1970-05-10;False;;0;2;6
Warszawa;03-790;m;1973-11-03;False;;2;0;0
Poznań;61-525;f;1993-03-08;True;full-time;0;0;9
Poznań;60-852;m;1995-05-22;False;;2;0;0
Opole;45-236;m;1995-06-03;True;freelancer;2;2;6
Przechód;48-324;m;1983-01-19;True;self-employment;0;2;8
Zielona Góra;65-548;m;1992-04-21;False;;3;0;8
Wrocław;51-173;f;1959-09-07;False;;1;1;5
Warszawa;01-207;f;1958-07-12;False;;1;2;6
Pyskowice;44-120;f;1996-09-20;True;freelancer;2;0;2
Białystok;15-821;f;1993-11-23;False;;1;2;6
Kościelisko;34-511;m;1959-04-09;True;freelancer;3;1;2
Białystok;15-684;m;1990-03-11;False;;1;2;5
Łódź;92-123;m;1974-03-13;False;;0;2;1
Poznań;60-747;m;1998-12-30;True;full-time;2;0;2
Warszawa;03-159;m;1959-02-28;True;freelancer;2;1;7
Bielsko-Biała;43-300;m;1973-07-23;False;;1;1;3
Bydgoszcz;85-790;m;1985-10-27;False;;2;0;4
Kraków;31-625;f;1959-07-09;True;self-employment;3;1;4
Ruda Śląska;41-717;m;1978-10-08;False;;2;1;9
Łódź;91-504;m;1963-12-29;False;;0;1;2
Wrocław;51-142;f;1994-01-28;True;freelancer;1;2;5
Gdańsk;80-512;f;1980-03-24;True;freelancer;3;2;5
Kraków;30-216;f;1969-04-01;True;freelancer;1;2;2
Częstochowa;42-202;m;1976-08-08;True;full-time;1;2;3
Gdańsk;80-298;m;1970-03-10;False;;1;0;7
Warszawa;01-221;m;1995-04-07;True;full-time;1;2;0
Warszawa;03-144;f;1993-11-26;True;full-time;3;0;7
Opole;45-856;f;1958-10-09;False;;3;2;5
Warszawa;01-224;f;1970-04-27;True;self-employment;1;1;4
Kliniska Wielkie;72-123;f;1980-05-30;False;;2;2;1
Ruda Śląska;41-700;m;1976-06-23;False;;0;0;4
Warszawa;03-475;m;1964-05-23;False;;3;1;7
Wrocław;50-242;f;1982-11-04;False;;0;1;1
Warszawa;01-229;f;1996-09-30;True;full-time;2;0;9
Warszawa;02-986;m;1978-09-08;True;self-employment;0;1;9
Warszawa;04-849;m;1971-08-18;True;self-employment;2;1;8
Warszawa;03-536;f;1973-06-09;False;;0;2;1
Bielsko-Biała;43-303;f;1962-06-11;False;;2;0;1
Będzin;42-500;f;1990-08-18;True;full-time;2;0;4
Herby;42-284;m;1981-09-20;False;;3;0;7
Gdańsk;80-557;f;1995-02-26;True;full-time;2;0;0
Łódź;94-102;f;1988-07-31;False;;2;1;5
Kielce;25-432;f;1960-11-29;True;self-employment;2;2;7
Warszawa;01-238;m;1960-12-08;True;full-time;1;2;5
Kraków;31-052;f;1978-06-25;True;full-time;3;0;2
Stara Dąbrowa;73-112;f;1984-05-18;True;full-time;3;1;6
Rybnik;44-251;f;1972-03-11;True;full-time;1;2;2
Tarnowo Podgórne;62-079;f;1958-06-02;True;freelancer;3;1;2
Warszawa;01-242;m;1998-01-05;True;self-employment;3;0;2
Wrocław;50-026;m;1997-05-14;False;;0;2;7
Leszno;64-100;f;1985-10-13;False;;3;0;6
Bielsko-Biała;43-300;f;1987-01-28;True;freelancer;3;1;6
Szczecin;71-739;m;1991-03-15;True;self-employment;0;0;3
Lublin;20-346;m;1994-08-14;True;full-time;2;2;9
Koszalin;75-401;m;1981-04-05;True;self-employment;2;2;1
Poznań;61-166;f;1996-10-22;True;freelancer;3;0;4
Warszawa;02-495;m;1968-01-31;True;self-employment;0;0;6
Warszawa;01-250;m;1971-12-25;False;;2;2;2
Warszawa;02-973;f;1972-07-13;False;;0;0;6
Przystajń;42-141;f;1965-05-28;False;;0;2;2
Bielsko-Biała;43-300;m;1986-09-11;False;;0;1;7
Witonia;99-335;m;1996-04-09;True;self-employment;1;0;6
Warszawa;04-910;m;1968-01-05;False;;3;1;5
Kraków;30-010;m;1989-11-17;False;;1;1;4
Olsztyn;10-085;m;1986-04-23;False;;2;0;7
Kraków;31-421;f;1991-04-21;True;freelancer;2;1;9
Łódź;91-433;m;1994-01-19;False;;2;0;8
Bydgoszcz;85-858;f;1987-01-23;True;freelancer;3;2;6
Warszawa;04-470;m;1967-02-28;True;self-employment;1;1;3
Olsztyn;10-013;f;1974-10-15;True;freelancer;1;1;0
Lublin;20-952;m;1968-07-24;True;freelancer;2;1;3
Katowice;40-533;m;1981-10-08;False;;3;1;7
Koszalin;75-212;f;1982-04-25;False;;3;0;4
Warszawa;01-265;f;1968-06-28;True;self-employment;2;2;4
Sosnowiec;41-219;m;1974-05-05;False;;0;1;9
Poznań;60-533;f;1985-02-11;False;;2;0;3
Wrocław;52-212;f;1964-07-19;False;;0;2;9
Katowice;40-353;f;1996-06-01;False;;3;2;3
Gdańsk;80-299;m;1960-07-02;False;;2;1;1
Gliwice;44-121;f;1994-08-01;False;;2;1;7
Bydgoszcz;85-118;f;1999-08-18;True;freelancer;2;0;8
Warszawa;04-514;m;1982-06-03;True;freelancer;2;0;4
Gdynia;81-029;f;1973-07-09;True;freelancer;0;1;9
Gdynia;81-521;m;1986-05-27;True;freelancer;1;0;8
Lublin;20-818;m;1992-01-31;False;;0;1;8
Wrocław;54-434;f;1980-07-01;False;;3;1;9
Wiskitki;96-315;m;1996-06-16;False;;2;1;3
Warszawa;02-347;m;1991-07-01;True;freelancer;3;2;3
Łódź;93-520;f;1977-07-11;True;full-time;2;2;3
Lublin;20-621;m;1999-10-06;False;;3;1;9
Kraków;30-758;m;1993-07-01;False;;1;2;3
Gdynia;81-589;f;1999-11-14;True;freelancer;0;0;6
Warszawa;04-152;f;1977-01-06;True;full-time;0;2;2
Łysa Góra;32-853;m;1990-09-29;False;;2;1;0
Kraków;31-931;m;1994-11-25;False;;1;0;5
Łódź;91-839;f;1959-12-15;False;;1;1;8
Lublin;20-828;f;1977-04-09;True;full-time;2;0;5
Gdańsk;80-126;m;1975-08-19;True;freelancer;1;1;4
Gdynia;81-578;f;1994-01-21;False;;1;0;3
Katowice;40-749;f;1960-10-31;True;freelancer;3;0;1
Wrocław;52-221;f;1975-11-21;False;;1;1;8
Warszawa;02-939;f;1971-06-26;False;;1;0;6
Kowalowa;33-161;m;1984-10-13;True;freelancer;1;1;5
Wrocław;52-007;m;1966-01-12;False;;0;0;1
Ruja;59-243;f;1986-08-31;True;full-time;3;1;2
Warszawa;03-557;m;1978-08-30;True;full-time;3;0;9
Zielona Góra;65-340;f;1999-10-15;False;;3;1;2
Łódź;91-204;f;1967-02-03;False;;0;2;6
Radom;26-610;f;1995-08-04;True;freelancer;1;1;8
Lublin;20-029;f;1988-11-01;True;self-employment;3;0;9
Ruda Śląska;41-709;f;1961-01-04;False;;2;0;1
Lublin;20-730;m;1980-09-06;False;;1;0;8
Rybnik;44-200;m;1999-03-26;False;;1;2;6
Chróścina;46-073;f;1973-09-24;False;;0;1;8
Nawojowa;33-335;m;1980-12-26;True;self-employment;1;0;7
Gdynia;81-010;f;1997-05-29;False;;3;0;5
Częstochowa;42-280;f;1968-11-04;False;;0;0;5
Warszawa;01-343;f;1985-08-22;True;freelancer;0;1;2
Kielce;25-330;m;1958-12-27;True;self-employment;3;1;5
Warszawa;01-345;m;1990-10-15;False;;0;2;9
Mogilany;32-031;f;1980-07-24;False;;0;1;5
Szczecin;71-212;m;1959-08-16;False;;1;0;4
Łódź;92-712;f;1979-04-20;True;freelancer;2;0;4
Kędzierzyn-Koźle;47-225;m;1959-11-28;True;freelancer;3;2;5
Wrocław;54-130;f;1996-07-22;True;freelancer;3;2;6
Będków;97-319;f;1977-08-10;True;freelancer;3;2;0
Kielce;25-209;f;1999-01-18;False;;0;1;8
Gdańsk;80-174;m;1994-12-16;True;self-employment;2;0;7
Łódź;93-319;f;1979-10-24;False;;2;0;1
Katowice;40-386;f;1961-07-16;True;self-employment;1;0;5
Warszawa;01-355;f;1996-01-01;False;;2;1;1
Łódź;91-805;f;1987-12-05;True;full-time;2;0;4
Szczecin;71-006;f;1996-12-27;False;;1;2;2
Bydgoszcz;85-449;f;1974-01-08;True;full-time;1;2;6
Wrocław;53-615;m;1999-03-17;True;freelancer;0;0;5
Opole;45-352;f;1972-04-20;False;;0;0;8
Białystok;15-134;f;1971-03-04;True;self-employment;0;2;4
Zabrze;41-800;f;1991-06-17;False;;0;0;2
Rudnik nad Sanem;37-420;f;1981-10-25;True;full-time;0;2;0
Białystok;15-397;f;1982-01-07;True;freelancer;0;2;5
Koszalin;75-052;f;1960-09-23;False;;1;0;9
Warszawa;02-828;f;1984-02-19;False;;1;1;6
Kielce;25-653;m;1995-07-30;True;self-employment;1;0;1
Gdańsk;80-341;f;1963-03-14;False;;1;0;2
Ruda Śląska;41-710;f;1969-03-17;True;self-employment;2;1;2
Szczecin;71-612;f;1958-09-16;True;self-employment;1;1;6
Wrocław;52-018;f;1993-04-24;False;;2;0;4
Bielsko-Biała;43-300;m;1999-07-03;True;full-time;3;1;6
Tarnowskie Góry;42-600;m;1997-11-22;False;;2;1;1
Korczew;08-108;m;1992-12-09;True;self-employment;3;1;5
Kędzierzyn-Koźle;47-232;m;1971-11-28;True;freelancer;1;0;6
Dubiecko;37-750;m;1980-01-09;True;freelancer;3;1;2
Gdynia;81-340;m;1966-08-13;True;freelancer;3;0;6
Kołobrzeg;78-100;m;1988-09-15;True;self-employment;2;0;2
Warszawa;03-678;m;1978-11-04;True;self-employment;2;0;8
Łódź;92-121;f;1990-07-05;True;self-employment;0;1;4
Jastrzębie-Zdrój;44-330;f;1991-08-12;False;;3;1;6
Warszawa;02-359;m;1998-09-08;False;;3;2;0
Opole;45-112;m;1962-08-07;False;;2;1;3
